INPUT:text	INPUT:word	INPUT:pronoun	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	перелески	ими	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff00f19ca59c7667577732	000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff026c69313305bb86efcd	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-09-11T12:05:00.339	2023-09-11T12:07:03.292	2023-09-11T12:07:03.292	0.019
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	школу	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff00f19ca59c7667577736	000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff026c69313305bb86efcd	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-09-11T12:05:00.339	2023-09-11T12:07:03.292	2023-09-11T12:07:03.292	0.019
Я уверен, что на моем плане будет отмечен этот дом. Он очень подробный.	плане	Он	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff00764d93952b80a03970	000275ac5b--64ff026c69313305bb86efd9	000275ac5b--64ff026c69313305bb86efcd	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-09-11T12:05:00.339	2023-09-11T12:07:03.292	2023-09-11T12:07:03.292	0.019
Элис отчаянно пыталась не дать своей дочери болтать на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	false			https://platform.toloka.ai/task/41266267/000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff00764d93952b80a03953	000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff027a2964b70e7c228eb2	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:15.067	2023-09-11T12:05:41.299	2023-09-11T12:05:41.299	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	посёлки	их	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff00f19ca59c7667577734	000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff027a2964b70e7c228eb2	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:15.067	2023-09-11T12:05:41.299	2023-09-11T12:05:41.299	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	перелески	ими	true				https://platform.toloka.ai/task/41266267/000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff00f19ca59c7667577732	000275ac5b--64ff027b2964b70e7c228ec2	000275ac5b--64ff027a2964b70e7c228eb2	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:15.067	2023-09-11T12:05:41.299	2023-09-11T12:05:41.299	0.022
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff00764d93952b80a03975	000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff029702191c1c25aa6d42	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:43.243	2023-09-11T12:06:08.874	2023-09-11T12:06:08.874	0.019
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	птицефабрику	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff00f19ca59c7667577738	000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff029702191c1c25aa6d42	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:43.243	2023-09-11T12:06:08.874	2023-09-11T12:06:08.874	0.019
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	школу	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff00f19ca59c7667577736	000275ac5b--64ff029702191c1c25aa6d48	000275ac5b--64ff029702191c1c25aa6d42	0f899f0a66501616aa1aa524cc000238	APPROVED	2023-09-11T12:05:43.243	2023-09-11T12:06:08.874	2023-09-11T12:06:08.874	0.019
Элис отчаянно пыталась не дать своей дочери лаять по-собачьи на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff00764d93952b80a03973	000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff02a702191c1c25aa70bc	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:05:59.610	2023-09-11T12:06:44.259	2023-09-11T12:06:44.259	0.022
