INPUT:text	INPUT:word	INPUT:pronoun	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36132409351a10c5f66d	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38197c475157010635d8	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef38197c475157010635d8	000271bf80--64ef38187c475157010635d2	36d93d4f906f48015a04300bb61d8ff1	APPROVED	2023-08-30T12:37:45	2023-08-30T12:38:29.678	2023-08-30T12:38:29.678
Анна родила девочку в прошлом месяце. Она – очаровательный ребенок.	Анна	Она	false	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36132409351a10c5f664	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на его пути, как будто он был живым существом.	Мэт	на его пути	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36260308d50982a5a7fc	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef383daaabce428735698c	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef383daaabce428735698c	000271bf80--64ef383daaabce4287356987	4124e89c1b174992ea3363d94ab6ee3e	APPROVED	2023-08-30T12:38:21.825	2023-08-30T12:39:02.532	2023-08-30T12:39:02.532
Я уверен, что на моем плане будет отмечен этот дом. Он очень подробный.	плане	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36132409351a10c5f668	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869
Леди Балантайн наговорила леди Рубио много такого, о чём она потом серьёзно пожалела, но выбросить из головы уже не могла.	леди Рубио	она	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36280308d50982a5a8ea	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef389c894bcc2572966d0e	000271bf80--64ef389c894bcc2572966d0b	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:39:56.270	2023-08-30T12:40:50.869	2023-08-30T12:40:50.869
Элис отчаянно пыталась не дать своей дочери лаять по-собачьи на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef36132409351a10c5f66a	000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef38a48cabf13b41f854b8	ba3e8094f2cf4704e7471d101c8f26ee	APPROVED	2023-08-30T12:40:04.470	2023-08-30T12:41:27.997	2023-08-30T12:41:27.997
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef38a48cabf13b41f854b8	ba3e8094f2cf4704e7471d101c8f26ee	APPROVED	2023-08-30T12:40:04.470	2023-08-30T12:41:27.997	2023-08-30T12:41:27.997
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на пути, как будто он был живым существом.	бюро	проклиная его	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef36260308d50982a5a7f1	000271bf80--64ef38a48cabf13b41f854c7	000271bf80--64ef38a48cabf13b41f854b8	ba3e8094f2cf4704e7471d101c8f26ee	APPROVED	2023-08-30T12:40:04.470	2023-08-30T12:41:27.997	2023-08-30T12:41:27.997
Раньше Ларри всегда помогал папе с его работой. Но он не мог помочь ему сейчас, потому что папа сказал, что его босс в железнодорожной компании не хочет, чтобы кто-либо, кроме него, работал в офисе.	Ларри	он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef36132409351a10c5f658	000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef38a4aaabce42873583db	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-08-30T12:40:04.671	2023-08-30T12:41:01.235	2023-08-30T12:41:01.235
Натали сдала все предметы на неделю раньше срока и уехала в Римини повидать Софи, она успела как раз вовремя, пока та не уехала в Германию.	Натали	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef36290308d50982a5a964	000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef38a4aaabce42873583db	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-08-30T12:40:04.671	2023-08-30T12:41:01.235	2023-08-30T12:41:01.235
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на его пути, как будто он был живым существом.	Мэт	на его пути	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef36260308d50982a5a7fc	000271bf80--64ef38a4aaabce42873583dd	000271bf80--64ef38a4aaabce42873583db	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-08-30T12:40:04.671	2023-08-30T12:41:01.235	2023-08-30T12:41:01.235
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef38a511fcd81de5cbbb28	4e5e7c4108b99e5a8ab7981f4ec0d483	APPROVED	2023-08-30T12:40:05.937	2023-08-30T12:41:27.805	2023-08-30T12:41:27.805
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на его пути, как будто он был живым существом.	Мэт	на его пути	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef36260308d50982a5a7fc	000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef38a511fcd81de5cbbb28	4e5e7c4108b99e5a8ab7981f4ec0d483	APPROVED	2023-08-30T12:40:05.937	2023-08-30T12:41:27.805	2023-08-30T12:41:27.805
Исследования посвящены трем видам рыб, которые недавно были найдены в Индийском океане. Они появились два года назад.	Исследования	Они	false	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef36132409351a10c5f65a	000271bf80--64ef38a511fcd81de5cbbb2d	000271bf80--64ef38a511fcd81de5cbbb28	4e5e7c4108b99e5a8ab7981f4ec0d483	APPROVED	2023-08-30T12:40:05.937	2023-08-30T12:41:27.805	2023-08-30T12:41:27.805
Генри не раз присутствовал на совещаниях, которые его отец проводил с известными детективами. Им требовалась его помощь в разгадывании таинственных загадок, и эти случаи становились для него красными днями календаря.	отец	его помощь	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef36260308d50982a5a753	000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef38a8a72cf018a32bc39d	2d34fe46eb12f9e5176ed4f659d2cedc	APPROVED	2023-08-30T12:40:08.242	2023-08-30T12:41:02.065	2023-08-30T12:41:02.065
