INPUT:premise	INPUT:hypothesis	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
В ближайшие несколько месяцев будут представлены сразу несколько аппаратов, которые, как ожидается, станут новым витком мобильной эволюции.	Сразу несколько аппаратов станут новым витком мобильной эволюции.	1				https://platform.toloka.ai/task/42365874/00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--65661c962eae777d413ceec5	00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--656626d8cb94b61ac9a31b9b	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:43:52.392	2023-11-28T17:45:03.448	2023-11-28T17:45:03.448	0.0300000000
Посмотрев это видео, понимаешь, почему женщины живут дольше мужчин.	Женщины живут не дольше мужчин.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--65661c85a837516761fe51f7	00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--656626d8cb94b61ac9a31b9b	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:43:52.392	2023-11-28T17:45:03.448	2023-11-28T17:45:03.448	0.0300000000
Свидетели утверждают, что открытие станции спровоцировало давку в вестибюле. По факту случившегося проводится проверка. В полиции считают, что плафон могли разбить хулиганы.	Плафон могли разбить хулиганы.	1				https://platform.toloka.ai/task/42365874/00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--65661c952eae777d413cedf1	00028673b2--656626d8cb94b61ac9a31ba0	00028673b2--656626d8cb94b61ac9a31b9b	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:43:52.392	2023-11-28T17:45:03.448	2023-11-28T17:45:03.448	0.0300000000
Душа сказала мне давно: Ты в мире молнией промчишься!	Ты в мире молнией промчишься!	1				https://platform.toloka.ai/task/42365874/00028673b2--6566272172d52b5a02111bb4	00028673b2--65661c962eae777d413ceea0	00028673b2--6566272172d52b5a02111bb4	00028673b2--6566272172d52b5a02111bb2	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:05.151	2023-11-28T17:45:30.190	2023-11-28T17:45:30.190	0.0300000000
Он ей рисунки свои носил, а она исправляла. Все ему исправляла. И критиковала за ставни закрытые, говорила — окно, чтоб смотреть на мир.	На его рисунках были открыты ставни.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566272172d52b5a02111bb4	00028673b2--65661c85a837516761fe51f9	00028673b2--6566272172d52b5a02111bb4	00028673b2--6566272172d52b5a02111bb2	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:05.151	2023-11-28T17:45:30.190	2023-11-28T17:45:30.190	0.0300000000
Его судили за кражу и убийство.	Не было ни кражи, ни убийства.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566272172d52b5a02111bb4	00028673b2--65661c982eae777d413cefd2	00028673b2--6566272172d52b5a02111bb4	00028673b2--6566272172d52b5a02111bb2	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:05.151	2023-11-28T17:45:30.190	2023-11-28T17:45:30.190	0.0300000000
Другое дело, что и мы и мировые агентства составляем рейтинг спортсменов и прикидываем, кто может претендовать на медали. Но это лишь прогнозы. У нас слишком мало мировых лидеров - их меньше, чем пальцев на одной руке, и гарантировать, что все они обойдутся без травм, не очень разумно.	Все они обойдутся без травм.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566273b2eae777d413ea337	00028673b2--65661c942eae777d413cede0	00028673b2--6566273b2eae777d413ea337	00028673b2--6566273b2eae777d413ea335	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:31.720	2023-11-28T17:47:03.529	2023-11-28T17:47:03.529	0.0320000000
Этого не может быть. Связь прервана. А я говорю вам... Вы уверены, что это она?	Это она.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566273b2eae777d413ea337	00028673b2--65661c85a837516761fe51f3	00028673b2--6566273b2eae777d413ea337	00028673b2--6566273b2eae777d413ea335	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:31.720	2023-11-28T17:47:03.529	2023-11-28T17:47:03.529	0.0320000000
 Полное лунное затмение. Кажется, это бывает очень редко, чуть ли не раз в шестьдесят лет, хотя точно я не помню. Может быть, я ошибаюсь. Я вообще уже ничего не помню.	Полное лунное затмение бывает очень редко, чуть ли не раз в шестьдесят лет.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566273b2eae777d413ea337	00028673b2--65661c992eae777d413cf103	00028673b2--6566273b2eae777d413ea337	00028673b2--6566273b2eae777d413ea335	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:45:31.720	2023-11-28T17:47:03.529	2023-11-28T17:47:03.529	0.0320000000
"Только не навязывать ему своего мнения! Он податлив и доверчив, он реагирует на любое указание, ведь так ему проще достичь результата. Он верит, что ""взрослыми средствами"" он выиграет соревнование, которое ему навязано."	Взрослыми средствами он выиграет соревнование, которое ему навязано.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566279cedc5b13fcc97dac7	00028673b2--65661c962eae777d413ceea6	00028673b2--6566279cedc5b13fcc97dac7	00028673b2--6566279cedc5b13fcc97dac5	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:47:08.301	2023-11-28T17:49:26.553	2023-11-28T17:49:26.553	0.0320000000
