INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Дождь	Лед	Мороз	Пар	Что из этого является примером жидкой воды?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--656635d172d52b5a0213fee2	00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--65663c59edc5b13fcc9bec77	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:15:38.042	2023-11-28T19:16:13.892	2023-11-28T19:16:13.892	0.0300000000
лосось возвращается на родину, чтобы отложить икру	собаки делают трюки, когда им дают команду	ребенок делает домашнее задание каждый день в одно и то же время	человек смеется над чем-то забавным	Пример инстинкта -	A				https://platform.toloka.ai/task/42366885/00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--656635ea93eb880e6311dc6f	00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--65663c59edc5b13fcc9bec77	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:15:38.042	2023-11-28T19:16:13.892	2023-11-28T19:16:13.892	0.0300000000
Концы магнитов отталкиваются друг от друга, но центры притягиваются	Один магнит - это северный полюс, а другой магнит - южный полюс	Северные полюса двух магнитов обращены друг к другу	Один магнит накапливает энергию, а другой магнит выделяет энергию	У Павла есть два стержневых магнита. Он сдвигает концы двух магнитов вместе, а затем отпускает. Магниты быстро расходятся. Какое из следующих утверждений лучше всего объясняет, почему это происходит?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--656635eb93eb880e6311dd26	00028677a5--65663c5aedc5b13fcc9bec79	00028677a5--65663c59edc5b13fcc9bec77	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:15:38.042	2023-11-28T19:16:13.892	2023-11-28T19:16:13.892	0.0300000000
Шерсть, пиломатериалы и масло	Бумага, специи и волокна	Лекарства, кожа и молоко	Хлопок, резина и яйца	В каком из этих списков представлены продукты только растительного происхождения?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663c79ac2f373192115697	00028677a5--656635d172d52b5a0213fed0	00028677a5--65663c79ac2f373192115697	00028677a5--65663c79ac2f373192115694	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:16:09.168	2023-11-28T19:16:46.894	2023-11-28T19:16:46.894	0.0300000000
спать весь день	ложиться спать поздно	часто есть закуски	ежедневно заниматься спортом	Каким образом люди могут поддерживать хорошее здоровье?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663c79ac2f373192115697	00028677a5--656635e893eb880e6311dba3	00028677a5--65663c79ac2f373192115697	00028677a5--65663c79ac2f373192115694	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:16:09.168	2023-11-28T19:16:46.894	2023-11-28T19:16:46.894	0.0300000000
Концы магнитов отталкиваются друг от друга, но центры притягиваются	Один магнит - это северный полюс, а другой магнит - южный полюс	Северные полюса двух магнитов обращены друг к другу	Один магнит накапливает энергию, а другой магнит выделяет энергию	У Павла есть два стержневых магнита. Он сдвигает концы двух магнитов вместе, а затем отпускает. Магниты быстро расходятся. Какое из следующих утверждений лучше всего объясняет, почему это происходит?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663c79ac2f373192115697	00028677a5--656635eb93eb880e6311dd26	00028677a5--65663c79ac2f373192115697	00028677a5--65663c79ac2f373192115694	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:16:09.168	2023-11-28T19:16:46.894	2023-11-28T19:16:46.894	0.0300000000
кварц	сера	кальцит	полевой шпат	У какого минерала есть шестигранные прозрачные кристаллы, которые могут поцарапать стекло?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--656635d172d52b5a0213fede	00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--65663c7f72d52b5a0214dfde	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:16:15.385	2023-11-28T19:16:52.657	2023-11-28T19:16:52.657	0.0300000000
мертвых деревьях	воде	костях животных	камнях	Большое количество металлов, таких как железо и алюминий, содержится в	C				https://platform.toloka.ai/task/42366885/00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--656635eb93eb880e6311dd9e	00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--65663c7f72d52b5a0214dfde	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:16:15.385	2023-11-28T19:16:52.657	2023-11-28T19:16:52.657	0.0300000000
спать весь день	ложиться спать поздно	часто есть закуски	ежедневно заниматься спортом	Каким образом люди могут поддерживать хорошее здоровье?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--656635e893eb880e6311dba3	00028677a5--65663c7f72d52b5a0214dfe0	00028677a5--65663c7f72d52b5a0214dfde	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:16:15.385	2023-11-28T19:16:52.657	2023-11-28T19:16:52.657	0.0300000000
Солнце летом греет сильнее	Северное полушарие наклонено от Солнца зимой	Северное полушарие ближе к Солнцу зимой	Солнце летом движется за горизонт	Зимой в России световой день меньше, чем летом. Какое утверждение лучше всего объясняет, почему возникает эта разница?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663c8acfe2fd19c7dc5420	00028677a5--656635d172d52b5a0213fec6	00028677a5--65663c8acfe2fd19c7dc5420	00028677a5--65663c8acfe2fd19c7dc5419	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:16:26.537	2023-11-28T19:17:00.959	2023-11-28T19:17:00.959	0.0320000000
