INPUT:idx	INPUT:toxic_comment	INPUT:task1_suite_id	INPUT:neutral_comment	INPUT:training_counter	OUTPUT:is_match	GOLDEN:is_match	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
160	такого долбоебизма как в киеве не будет	1	такого, как в киеве, не будет.	198	false				https://platform.toloka.ai/task/41793355/00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c72bba8ebdc7126d23fa7	00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c758e9404dc38e65bc5bc	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T23:28:14.348	2023-10-15T23:28:55.483	2023-10-15T23:28:55.483	0.0300000000
455	ты знаешь что с тобой будет сучка	1	ты знаешь что с тобой будет	717	true				https://platform.toloka.ai/task/41793355/00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c72bda8ebdc7126d2423b	00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c758e9404dc38e65bc5bc	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T23:28:14.348	2023-10-15T23:28:55.483	2023-10-15T23:28:55.483	0.0300000000
13	глупышка! сильный пол, это ты! как вы заебали на странице!!! наебись ты наконец. сколько можно.	control	Сильный пол - это ты! Как вы надоели на этой странице.	190	false	true			https://platform.toloka.ai/task/41793355/00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c722467632923dd5e677a	00027db74b--652c758e9404dc38e65bc5bf	00027db74b--652c758e9404dc38e65bc5bc	d171b547bedef18946541e2a2a6ff829	APPROVED	2023-10-15T23:28:14.348	2023-10-15T23:28:55.483	2023-10-15T23:28:55.483	0.0300000000
14	Говорят что обиженных в жопу долбят, но это не точно	control	Говорят на обиженных воду возят	577	false	true			https://platform.toloka.ai/task/41793355/00027db74b--652c78564f14b96d9b216966	00027db74b--652c722467632923dd5e677d	00027db74b--652c78564f14b96d9b216966	00027db74b--652c78564f14b96d9b216963	b51afd604b2e049089091c4af167dfc6	APPROVED	2023-10-15T23:40:06.415	2023-10-15T23:41:02.092	2023-10-15T23:41:02.092	0.0300000000
91	в идеале, их бы просто пристрелить! но об этом (как у жванецкого!) остаётся только мечтать!	1	в идеале, их бы просто убрать! но об этом (как у жванецкого!) остаётся только мечтать!	93	true				https://platform.toloka.ai/task/41793355/00027db74b--652c78564f14b96d9b216966	00027db74b--652c72bba8ebdc7126d23efc	00027db74b--652c78564f14b96d9b216966	00027db74b--652c78564f14b96d9b216963	b51afd604b2e049089091c4af167dfc6	APPROVED	2023-10-15T23:40:06.415	2023-10-15T23:41:02.092	2023-10-15T23:41:02.092	0.0300000000
410	....эта сука должна давно сдохнуть как собака бешеная, в первую очередь в умах советских людей	1	Этот человек уже давно должен умереть в первую очередь в умах советских людей	765	true				https://platform.toloka.ai/task/41793355/00027db74b--652c78564f14b96d9b216966	00027db74b--652c72bda8ebdc7126d241d7	00027db74b--652c78564f14b96d9b216966	00027db74b--652c78564f14b96d9b216963	b51afd604b2e049089091c4af167dfc6	APPROVED	2023-10-15T23:40:06.415	2023-10-15T23:41:02.092	2023-10-15T23:41:02.092	0.0300000000
410	....эта сука должна давно сдохнуть как собака бешеная, в первую очередь в умах советских людей	1	Этот человек уже давно должен умереть в первую очередь в умах советских людей	765	true				https://platform.toloka.ai/task/41793355/00027db74b--652c788767632923dd5fb767	00027db74b--652c72bda8ebdc7126d241d7	00027db74b--652c788767632923dd5fb767	00027db74b--652c788767632923dd5fb74e	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:40:55.383	2023-10-15T23:42:01.380	2023-10-15T23:42:01.380	0.0300000000
0	афигеть сколько придурков которые верят😂😂😂😂	control	С ума сойти, сколько наивных людей верят!	566	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c788767632923dd5fb767	00027db74b--652c722467632923dd5e675f	00027db74b--652c788767632923dd5fb767	00027db74b--652c788767632923dd5fb74e	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:40:55.383	2023-10-15T23:42:01.380	2023-10-15T23:42:01.380	0.0300000000
91	в идеале, их бы просто пристрелить! но об этом (как у жванецкого!) остаётся только мечтать!	1	в идеале, их бы просто убрать! но об этом (как у жванецкого!) остаётся только мечтать!	93	true				https://platform.toloka.ai/task/41793355/00027db74b--652c788767632923dd5fb767	00027db74b--652c72bba8ebdc7126d23efc	00027db74b--652c788767632923dd5fb767	00027db74b--652c788767632923dd5fb74e	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:40:55.383	2023-10-15T23:42:01.380	2023-10-15T23:42:01.380	0.0300000000
760	жополиз путинский тварь продажная ему на россию плевать простые люди для наго ничто	1	Ему на Россию всеравно, простые люди для него никто	685	true				https://platform.toloka.ai/task/41793355/00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c72bfa8ebdc7126d24524	00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c78ca9404dc38e65c5f97	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:42:02.699	2023-10-15T23:43:09.566	2023-10-15T23:43:09.566	0.0300000000
