INPUT:replic	INPUT:answer_1	INPUT:answer_2	INPUT:target_group	OUTPUT:answer_output	GOLDEN:answer_output	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
пиструн надрачивай как все и молчи.маняпроекции пошлидаже красивую девку можно изуродовать хуевым мейкапом	У нее минимум мейкапа дура пиздоглазая может тебе приснилось я хз	да обычный макияж у нее, что ты придумаешь. выглядит вполне нормально	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402aea2d0f5e27572ef7e2	000280e676--654025b049bf6d25f0b6abed	000280e676--65402aea2d0f5e27572ef7e2	000280e676--65402aea2d0f5e27572ef7e0	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:06.325	2023-10-30T22:15:29.407	2023-10-30T22:15:29.407	0.0320000000
"Ты траллишь ебанат? Довольно жирно. А если не тралишь, то знай:"" Аллах твой черт ебаный который будет выебан ,высушен, обоссан и съеден. И участь его разделит его бесовская орда из жидов, чурок и прочей падали."" И это истина, тварь ебаная, такая же истина как Солнце моё взойдёт утром и рассеет тьму. Грызите свои вены крысы ебаные, вешайтесь и душите своих выблядков сами ибо вы позавидуете мертвым, позавидуете чертям в аду. Умрите сами пока ещё можете."	"Ты траллишь ебанат? Довольно жирно. А если не тралишь, то знай:"" Аллах твой черт ебаный который будет выебан ,высушен, обоссан и съеден. И участь его разделит его бесовская орда из жидов, чурок и прочей падали."" И это истина, тварь ебаная, такая же истина как Солнце моё взойдёт утром и рассеет тьму. Грызите свои вены крысы ебаные, вешайтесь и душите своих выблядков сами ибо вы позавидуете мертвым, позавидуете чертям в аду. Умрите сами пока ещё можете."	твое ебаное мнение никто не спрашивал. Иди своему парню рассказывай про национальный вопрос пока отсасывать будешь, но потом не забудь, как хороший пидор, проглотить, а то в жопу зарядят	национальность	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402aea2d0f5e27572ef7e2	000280e676--654025a02d0f5e27572ddca5	000280e676--65402aea2d0f5e27572ef7e2	000280e676--65402aea2d0f5e27572ef7e0	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:06.325	2023-10-30T22:15:29.407	2023-10-30T22:15:29.407	0.0320000000
С олигархов проорал))) Пригожинские шестерки умеют свои 15 рублей отрабатывать	Нет) это настолько толсто, что только самые отбитейшие дегенераты (процентов 5) поведутся на такое	Каждый зарабатывает так, как умеет, так что нечему тут удивляться. Тем более за такие деньги	другое	1				https://platform.toloka.ai/task/42002038/000280e676--65402aea2d0f5e27572ef7e2	000280e676--654025b049bf6d25f0b6abd2	000280e676--65402aea2d0f5e27572ef7e2	000280e676--65402aea2d0f5e27572ef7e0	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:06.325	2023-10-30T22:15:29.407	2023-10-30T22:15:29.407	0.0320000000
Вся суть. Ты - убогий неудачник, проигравший по жизни. У тебя нет ни друзей, ни увлечений, и единственное твоё развлечение - попытаться причинить кому-то боль. Что у тебя кстати плохо получается, и ты часто сам уходишь с разорванной жопой. Мощно тебе бомбит. Но ты тiрпи.	тiрпiть тут будешь только ты, пока в тове очко каждая узбекская чурка палку кинет	НIВIРЮ! Не удивлен что тебя модер потер, такой то ты дегенерат безголовый. Сейчас и тут потрет.	другое	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b0327259c5fb8d9167c	000280e676--654025a02d0f5e27572ddcb7	000280e676--65402b0327259c5fb8d9167c	000280e676--65402b0227259c5fb8d9167a	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:31.063	2023-10-30T22:15:48.978	2023-10-30T22:15:48.978	0.0320000000
гомосолдатка детектед Подумал даг, решив шугануть ухтинского вертухая)	когда ссышься хачей на генетическом уровне	Ты прав, Аркаша, — твоя жопа шире, срать удобней!	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402b0327259c5fb8d9167c	000280e676--654025b149bf6d25f0b6ac3e	000280e676--65402b0327259c5fb8d9167c	000280e676--65402b0227259c5fb8d9167a	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:31.063	2023-10-30T22:15:48.978	2023-10-30T22:15:48.978	0.0320000000
Михаил Св*тов мразь и подонок, сумасшедший дегенерат, педофил, нацист, патлатая хуемразь, анимешник, наркоман и живодёр. Все согласны?	тут мразь коммунист подонок русофоб Троцкий фейкует	ля какой умный высрался. Тебе твои дружки пидоры по Светова рассказали?	мужчины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b0327259c5fb8d9167c	000280e676--654025b149bf6d25f0b6ac4c	000280e676--65402b0327259c5fb8d9167c	000280e676--65402b0227259c5fb8d9167a	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:31.063	2023-10-30T22:15:48.978	2023-10-30T22:15:48.978	0.0320000000
Жопошник здесь только ты, мальчонка с надутой грудкой в попытке казаться большим и грозным. Ты двух разных людей отметил вообще. Лично мне абсолютно похуй на то, у кого там какая трансмиссия, пока они не начинают рассказывать, какая петушиная охуенная. Тогда лениво включаюсь в разговор, периодически постукивая ремонтозависимым запчастезаменоголовым крепчайшей головой увитого мощными венами члена по губам. Они обычно благодарят. Иногда смущаются.	Кто о чем, а пидор о хуях.	ты настуолько тупой, что спорить с тобой бесполезно	лгбт	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402b0727259c5fb8d916d7	000280e676--654025a02d0f5e27572ddca9	000280e676--65402b0727259c5fb8d916d7	000280e676--65402b0727259c5fb8d916d5	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:15:35.266	2023-10-30T22:15:50.552	2023-10-30T22:15:50.552	0.0320000000
пиструн надрачивай как все и молчи.маняпроекции пошлидаже красивую девку можно изуродовать хуевым мейкапом	У нее минимум мейкапа дура пиздоглазая может тебе приснилось я хз	да обычный макияж у нее, что ты придумаешь. выглядит вполне нормально	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b0727259c5fb8d916d7	000280e676--654025b049bf6d25f0b6abed	000280e676--65402b0727259c5fb8d916d7	000280e676--65402b0727259c5fb8d916d5	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:15:35.266	2023-10-30T22:15:50.552	2023-10-30T22:15:50.552	0.0320000000
господ магов. Проорал. Картавые дети шлюх и мудил не могут быть магами, они могут быть только картавыми детьми шлюх и мудил.	Сам ты картавый мудила! Это цитата? Или это ты так пошутил? Прикрой свой ебаный рот, пидор	То что у тебя папа еврей, который бросил твою мать шлюху мы уже поняли. Можешь больше не повторяться.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b0727259c5fb8d916d7	000280e676--654025af49bf6d25f0b6ab33	000280e676--65402b0727259c5fb8d916d7	000280e676--65402b0727259c5fb8d916d5	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:15:35.266	2023-10-30T22:15:50.552	2023-10-30T22:15:50.552	0.0320000000
Россия пытается обратить на себя внимание дешёвыми приемчиками как старая шлюха	Сравнения у тебя, однако, не самые лестные. Но образные	Выебали. Шлюха заплатила денег. Лол	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b16e1325603e6ef3b55	000280e676--654025af49bf6d25f0b6ab23	000280e676--65402b16e1325603e6ef3b55	000280e676--65402b16e1325603e6ef3b4e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:50.625	2023-10-30T22:16:16.476	2023-10-30T22:16:16.476	0.0320000000
