INPUT:idx	INPUT:neutral_comment	INPUT:training_counter	OUTPUT:fluent	GOLDEN:fluent	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
249	Ну и зачем вы сейчас выкинули это видео2015года?это человек ещё во власти?	1343	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c79695dae053080c93ed9	00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c80fee013ff63cff05325	78c9275a4ea4f3a6421a3e5be36dc6a2	APPROVED	2023-10-16T00:17:03.055	2023-10-16T00:18:08.230	2023-10-16T00:18:08.230	0.0300000000
21	До сих пор шрам на лбу от столба, понаставят на тратуарах, сволочи!	473	fluent	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c78f64f14b96d9b218cc2	00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c80fee013ff63cff05325	78c9275a4ea4f3a6421a3e5be36dc6a2	APPROVED	2023-10-16T00:17:03.055	2023-10-16T00:18:08.230	2023-10-16T00:18:08.230	0.0300000000
522	Герой России полковник Чепига выступал против США	918	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c796b5dae053080c940fe	00027db7ff--652c80ffe013ff63cff0532b	00027db7ff--652c80fee013ff63cff05325	78c9275a4ea4f3a6421a3e5be36dc6a2	APPROVED	2023-10-16T00:17:03.055	2023-10-16T00:18:08.230	2023-10-16T00:18:08.230	0.0300000000
710	Ещё бы в октябре открыл	2723	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c796c5dae053080c9427d	00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c82299404dc38e65e2043	c64d48cb0faadce1b6c6b26d8ff26a77	APPROVED	2023-10-16T00:22:01.720	2023-10-16T00:23:41.527	2023-10-16T00:23:41.527	0.0320000000
6	дураков нет, этож чистая наебаловка	34	fluent	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c78f64f14b96d9b218ca4	00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c82299404dc38e65e2043	c64d48cb0faadce1b6c6b26d8ff26a77	APPROVED	2023-10-16T00:22:01.720	2023-10-16T00:23:41.527	2023-10-16T00:23:41.527	0.0320000000
315	Девочка при исполнении ( на работе) а мужик скорее неумный драться лезет	526	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c796a5dae053080c93f5e	00027db7ff--652c82299404dc38e65e2045	00027db7ff--652c82299404dc38e65e2043	c64d48cb0faadce1b6c6b26d8ff26a77	APPROVED	2023-10-16T00:22:01.720	2023-10-16T00:23:41.527	2023-10-16T00:23:41.527	0.0320000000
30	ебанная турция, а нашим чё там сука бриллиантами намазано ебланы фу сука придурки8oi	227	no	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c78f64f14b96d9b218cd4	00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c82614f14b96d9b234687	6c4e36ad1d4d198279c7ce277c553f3f	APPROVED	2023-10-16T00:22:57.383	2023-10-16T00:25:05.272	2023-10-16T00:25:05.272	0.0300000000
273	Зачем мне просрочку и еще платить за нее?	1984	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c79695dae053080c93f09	00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c82614f14b96d9b234687	6c4e36ad1d4d198279c7ce277c553f3f	APPROVED	2023-10-16T00:22:57.383	2023-10-16T00:25:05.272	2023-10-16T00:25:05.272	0.0300000000
522	Герой России полковник Чепига выступал против США	918	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c796b5dae053080c940fe	00027db7ff--652c82614f14b96d9b234689	00027db7ff--652c82614f14b96d9b234687	6c4e36ad1d4d198279c7ce277c553f3f	APPROVED	2023-10-16T00:22:57.383	2023-10-16T00:25:05.272	2023-10-16T00:25:05.272	0.0300000000
522	Герой России полковник Чепига выступал против США	918	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c796b5dae053080c940fe	00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c8fae9404dc38e660bd69	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:19:42.805	2023-10-16T01:22:17.472	2023-10-16T01:22:17.472	0.0300000000
